,account,twitter_link,text,date,likes,comments
0,JoeBiden,https://twitter.com/JoeBiden/status/1746642116657176685#m,"As too many Americans know: Access to quality, affordable health care can mean the difference between life and death, and hope and fear.   That’s why I encourage everyone to visit https://HealthCare.gov before January 16 to sign up for health coverage this year.","Jan 14, 2024 · 9:15 PM UTC",4781,1483
1,JoeBiden,https://twitter.com/JoeBiden/status/1746577967948415215#m,"I said we’d invest in all of America—and we are.   We have more to do, but the results are clear:   Over 14 million jobs, record economic growth, and the lowest inflation rate of any major economy in the world.","Jan 14, 2024 · 5:00 PM UTC",10125,4282
2,JoeBiden,https://twitter.com/JoeBiden/status/1746271148776575473#m,"In the wake of the Supreme Court’s decision on our student debt relief plan, we are continuing to use every tool at our disposal to deliver student debt relief to as many borrowers as possible as quickly as possible.  I won’t back down.","Jan 13, 2024 · 8:41 PM UTC",20509,9182
3,JoeBiden,https://twitter.com/JoeBiden/status/1746226922709737836#m,"Hey, big head.  If you order a sign from our campaign store, you could receive one signed by me.  Get yours today: joe.link/yardsign","Jan 13, 2024 · 5:45 PM UTC",12682,9564
4,JoeBiden,https://twitter.com/JoeBiden/status/1746200479766356289#m,"Every time someone starts a new small business, it’s an act of hope and confidence in our economy. This week, we learned that Americans filed 16 million new business applications during the first three years of my administration.","Jan 13, 2024 · 4:00 PM UTC",11894,3643
5,JoeBiden,https://twitter.com/JoeBiden/status/1745960350913069437#m,Those pushing the Big Lie don't have respect for the 81 million people who voted for my presidency.  That's not democracy. That’s not America.,"Jan 13, 2024 · 12:06 AM UTC",53497,33866
6,JoeBiden,https://twitter.com/JoeBiden/status/1745915576717832615#m,"Yesterday’s report shows that we ended 2023 with inflation down nearly two-thirds from its peak and core inflation at its lowest level since May 2021.   Despite what many forecasters predicted a year ago, inflation is down while growth and the job market have remained strong.","Jan 12, 2024 · 9:08 PM UTC",13379,5143
7,JoeBiden,https://twitter.com/JoeBiden/status/1745883379025801589#m,"Starting next month, borrowers enrolled in SAVE who took out less than $12,000 in loans and have been in repayment for 10 years will get their remaining student debt canceled immediately.  It’s part of our ongoing efforts to act quickly to give more borrowers breathing room.","Jan 12, 2024 · 7:00 PM UTC",9739,3683
8,JoeBiden,https://twitter.com/JoeBiden/status/1745838867507245556#m,"My predecessor tried to strip millions of people of their health care coverage, end Medicaid coverage for millions more, and return to the days when insurance companies had free reign to deny coverage based on pre-existing conditions and charge women more than men.   I won’t let it happen on my watch.","Jan 12, 2024 · 4:03 PM UTC",20830,7755
9,JoeBiden,https://twitter.com/JoeBiden/status/1745604093953941970#m,"When it comes to gun violence, we don’t have to “get over it.”   We have to stop it.","Jan 12, 2024 · 12:30 AM UTC",33767,11630
